% f evaluations | g evaluations | best noise-free fitness - Fopt (-5.235000000000e+001) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
620 0 +1.992152951e+001 -3.242847049e+001 -3.242847049e+001 -1.0591e+000 -3.0805e+000 +3.2517e+000 -1.1781e+000 -2.7681e+000 +2.1271e+000 +1.1678e+000 -1.0339e+000 +4.8406e+000 -3.4307e+000 +1.1803e+000 -2.3377e+000 -2.2576e+000 -2.6597e+000 -1.6802e+000 -1.1352e+000 -1.8627e+000 -2.8591e+000 +3.8342e+000 -1.5849e+000
679 0 +1.137371961e+001 -4.097628039e+001 -4.097628039e+001 -1.0574e+000 -4.8734e+000 +6.0952e-001 -2.3402e+000 -1.7464e+000 +2.1951e+000 -3.0433e+000 -2.0704e+000 +2.7518e+000 -1.2794e+000 +1.9059e+000 -1.3332e+000 -5.1981e-001 -2.2917e+000 -7.2880e-001 +9.6301e-001 +8.8236e-002 -6.6911e-001 +1.0501e+000 -2.0537e+000
980 0 +1.048563097e+001 -4.186436903e+001 -4.186436903e+001 +3.1362e-001 -5.1711e-001 +2.3605e+000 -2.4425e+000 -2.0357e+000 +2.7641e+000 -2.3014e+000 -3.6046e+000 +1.5133e+000 -1.8641e+000 +2.3822e+000 +1.0201e-001 +2.1904e+000 -3.8429e-002 -7.8384e-001 +2.6628e+000 -1.2177e+000 -5.3140e-001 +1.1923e+000 -2.9023e+000
1120 0 +9.567131711e+000 -4.278286829e+001 -4.278286829e+001 -1.7546e+000 -2.0820e+000 +1.2554e+000 -1.0347e+000 -1.8255e+000 +1.8492e+000 -4.9970e+000 -1.9043e+000 +2.1309e+000 -2.5547e+000 +1.3858e+000 +5.5599e-001 +3.6956e-001 -2.1920e+000 +4.6306e-001 +9.7578e-001 -4.6163e-001 +7.3706e-001 +3.6901e+000 -2.7899e+000
1122 0 +8.709619810e+000 -4.364038019e+001 -4.364038019e+001 -3.4336e-001 -2.7958e-001 +5.4856e-001 -2.9120e+000 +7.4969e-001 +5.1204e-001 -4.4474e+000 -2.1598e+000 +2.4499e+000 -1.8390e+000 +2.5460e+000 -1.2546e+000 +2.7895e+000 -1.9750e-001 +5.0786e-001 +3.8402e-001 -3.1737e-002 +1.0405e+000 +2.3989e+000 -3.2856e+000
1239 0 +7.535878677e+000 -4.481412132e+001 -4.481412132e+001 -1.7749e+000 -2.9682e+000 +1.4344e+000 -7.1036e-001 -1.9273e+000 +2.9389e+000 -2.9290e+000 -1.3239e+000 +2.5733e+000 -2.3847e+000 +2.0100e+000 +3.0545e-002 +1.3489e+000 -2.8265e+000 -2.6999e-003 -1.1451e+000 -2.2086e+000 -1.8299e-001 +2.7639e+000 -4.4233e+000
1417 0 +6.526416809e+000 -4.582358319e+001 -4.582358319e+001 -2.3359e+000 -1.1420e+000 +2.6692e+000 -3.7953e+000 -1.6643e+000 +3.0729e+000 -4.0876e+000 -1.5153e+000 +2.0917e+000 -1.7388e+000 +3.1774e+000 -7.2708e-001 +2.3176e+000 -1.3535e+000 -6.5044e-001 +3.2617e-001 -3.2330e+000 -1.3498e+000 +9.4265e-001 -3.6942e+000
1474 0 +6.057336545e+000 -4.629266346e+001 -4.629266346e+001 -1.2989e+000 -2.0093e+000 +1.2889e+000 -1.4097e+000 -3.1946e+000 +2.6252e+000 -4.3109e+000 -6.8350e-001 +3.4521e+000 -2.4445e+000 +4.0257e+000 +5.6117e-001 +2.0816e+000 -2.0771e+000 +2.6639e-001 -3.1862e-001 -7.8973e-001 +1.7081e+000 +3.4812e+000 -2.6977e+000
1619 0 +5.807156298e+000 -4.654284370e+001 -4.654284370e+001 -2.0165e+000 -4.9754e+000 +1.8072e+000 -1.5959e+000 -1.4932e+000 +3.6489e+000 -3.5635e+000 -1.4674e+000 +2.6275e+000 -1.4008e+000 +2.1998e+000 -1.0152e+000 +2.5506e+000 -1.5773e+000 -7.2588e-001 -2.6717e-001 -1.3130e+000 +8.0809e-001 +2.5817e+000 -3.3749e+000
1668 0 +5.578088369e+000 -4.677191163e+001 -4.677191163e+001 -1.8875e+000 -8.9611e-001 +1.8952e+000 -9.5391e-001 -1.1783e+000 +3.5595e+000 -3.1319e+000 -1.9631e+000 +2.6810e+000 -1.5450e+000 +2.1476e+000 -6.3573e-001 +3.0784e+000 -2.0651e+000 -3.9175e-001 -1.6847e-001 -1.5908e+000 +7.3953e-001 +3.3498e+000 -3.4418e+000
1689 0 +4.768984602e+000 -4.758101540e+001 -4.758101540e+001 -2.1077e+000 +4.7088e-002 +1.5450e+000 -1.6071e+000 -1.4604e+000 +3.2310e+000 -3.4338e+000 -1.5890e+000 +2.4559e+000 -1.6376e+000 +2.2314e+000 -7.9691e-001 +2.3426e+000 -1.8612e+000 -3.2153e-001 -1.2872e-001 -1.4088e+000 +5.7973e-001 +2.9413e+000 -3.4930e+000
1695 0 +4.669990138e+000 -4.768000986e+001 -4.768000986e+001 -2.3139e+000 -9.3494e-001 +1.5938e+000 -1.5610e+000 -1.4435e+000 +3.0393e+000 -3.6393e+000 -1.6044e+000 +2.4192e+000 -1.2544e+000 +2.3312e+000 -6.7066e-001 +2.5656e+000 -1.7996e+000 -2.6184e-001 -2.2833e-002 -1.4430e+000 +6.3214e-001 +2.8920e+000 -3.4904e+000
1741 0 +4.228060800e+000 -4.812193920e+001 -4.812193920e+001 -1.7859e+000 -1.3131e+000 +1.4501e+000 -3.7349e+000 -1.3233e+000 +3.1076e+000 -3.1521e+000 -1.1987e+000 +2.5467e+000 -1.4621e+000 +2.3586e+000 -5.5931e-001 +2.6003e+000 -1.8597e+000 -1.9398e-001 +1.1054e-004 -1.4474e+000 +5.1997e-001 +3.2509e+000 -3.5241e+000
1764 0 +4.156662136e+000 -4.819333786e+001 -4.819333786e+001 -1.7733e+000 -1.3494e+000 +1.4414e+000 -3.2999e+000 -1.3828e+000 +3.3246e+000 -3.1083e+000 -1.1689e+000 +2.5640e+000 -2.0468e+000 +2.4452e+000 -6.2185e-001 +2.8185e+000 -1.8766e+000 -1.4282e-001 -4.8449e-002 -1.4067e+000 +5.1204e-001 +3.4538e+000 -3.5727e+000
1797 0 +3.427843104e+000 -4.892215690e+001 -4.892215690e+001 -1.1325e+000 -7.0462e-001 +1.5289e+000 -3.5039e+000 -1.5383e+000 +3.3426e+000 -3.2839e+000 -8.6000e-001 +2.5251e+000 -2.6579e+000 +2.1852e+000 -4.3493e-001 +3.8008e+000 -1.7104e+000 -2.0714e-001 +1.2508e-001 -1.6301e+000 +7.5303e-001 +2.8778e+000 -3.6655e+000
